"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10"
"current_events",1.87755102040816,1.67521367521368,1.41666666666667,1.26712328767124,1.65395894428152,1.61609195402299,1.92665036674817,1.75869120654397,1.98210526315789,1.53066332916145
"travel",2.24489795918367,9.02849002849003,1.48611111111111,1.08368076235852,1.35777126099707,1.14942528735632,2.09535452322738,1.4560327198364,1.11894736842106,1.22903629536921
"photo_sharing",2.44897959183673,2.4017094017094,2.64444444444444,1.54437164979153,2.4692082111437,2.15402298850575,2.53056234718826,6.14110429447853,5.81157894736842,2.47183979974969
"uncategorized",0.918367346938775,0.737891737891738,0.772222222222222,0.662894580107205,0.728739002932551,0.733333333333333,1.46943765281174,1.29038854805726,0.823157894736842,0.963704630788486
"tv_film",0.877551020408163,0.96011396011396,1.225,0.698034544371659,0.904692082111436,1.04597701149425,5.66748166259169,0.830265848670756,0.865263157894735,0.817271589486857
"sports_fandom",1.89795918367347,1.14245014245014,1.31666666666667,0.890410958904097,6.08211143695014,3.0367816091954,1.34718826405868,1.15541922290389,1.14631578947368,1.16645807259074
"politics",2.24489795918367,11.2136752136752,1.25277777777778,0.88385944014298,1.10117302052786,5.48505747126437,1.52078239608802,1.38036809815951,1.32315789473684,1.17897371714643
"food",1.46938775510204,1.67521367521368,1.23333333333333,0.748064324002374,4.66568914956011,1.11034482758621,1.64547677261614,1.03680981595092,0.840000000000002,2.19774718397997
"family",0.795918367346939,0.754985754985755,1.08611111111111,0.519952352590836,2.57478005865103,1.13103448275862,0.745721271393643,0.899795501022495,0.8,0.769712140175219
"home_and_garden",0.693877551020408,0.561253561253561,0.566666666666667,0.36956521739131,0.642228739002932,0.627586206896552,0.765281173594132,0.61758691206544,0.627368421052631,0.633291614518147
"music",0.693877551020408,0.638176638176638,0.627777777777778,0.438951756998218,0.719941348973607,0.586206896551724,1.76528117359413,1.26175869120655,0.809473684210525,0.678347934918648
"news",1.20408163265306,3.58974358974359,0.797222222222222,0.553901131625949,0.973607038123168,6.77241379310346,1.21271393643032,1.03680981595092,0.632631578947373,1.0287859824781
"online_gaming",1.44897959183673,0.749287749287749,10.8,0.582489577129246,0.998533724340176,0.87816091954023,0.760391198044009,1.13087934560327,0.750526315789472,0.888610763454319
"shopping",0.959183673469388,1.27635327635328,1.14444444444444,0.664681357951173,1.3900293255132,1.11264367816092,1.50611246943765,1.78936605316974,4.02210526315789,1.33667083854819
"health_nutrition",2.79591836734694,1.81766381766382,1.75833333333334,1.15544967242406,1.90469208211144,1.45517241379311,1.87530562347189,2.2760736196319,1.28631578947369,12.40675844806
"college_uni",1.91836734693878,1.41880341880342,11.0111111111111,0.796605122096478,1.17302052785924,1,2.66992665036675,1.50306748466258,1.23473684210526,0.934918648310394
"sports_playing",0.530612244897959,0.678062678062678,2.69722222222222,0.387135199523517,0.744868035190617,0.554022988505748,0.777506112469439,0.830265848670757,0.553684210526317,0.630788485607009
"cooking",1.79591836734694,1.36467236467236,1.56944444444445,0.866587254318064,1.66275659824047,1.19540229885058,1.51344743276284,11.5092024539877,1.16631578947368,3.37797246558198
"eco",0.857142857142857,0.632478632478632,0.458333333333334,0.298987492555105,0.656891495601174,0.448275862068966,0.599022004889975,0.507157464212679,0.763157894736839,0.931163954943674
"computers",1,4.08547008547009,0.544444444444444,0.343954734961279,0.756598240469208,0.4183908045977,0.47921760391198,0.723926380368098,0.621052631578947,0.555694618272841
"business",0.183673469387755,0.809116809116807,0.344444444444444,0.245979749851107,0.497067448680352,0.34712643678161,0.669926650366748,0.588957055214724,0.701052631578944,0.469336670838548
"outdoors",1.14285714285714,0.746438746438746,0.608333333333335,0.390708755211437,0.697947214076247,1.1448275862069,0.67237163814181,0.789366053169734,0.43263157894737,2.84605757196496
"crafts",0.693877551020408,0.683760683760684,0.544444444444445,0.275163787969011,1.08651026392962,0.381609195402299,1.12958435207824,0.593047034764826,0.587368421052632,0.569461827284105
"automotive",1,0.655270655270655,0.905555555555556,0.405002977963059,0.997067448680351,4.37701149425288,0.520782396088018,0.865030674846626,0.922105263157894,0.60075093867334
"art",1.26530612244898,0.464387464387466,1.15833333333333,0.337701012507458,0.696480938416422,0.457471264367818,5.03667481662591,0.730061349693252,0.376842105263155,0.610763454317899
"religion",1.3265306122449,1.32193732193732,0.733333333333334,0.512507444907708,5.46774193548386,0.740229885057474,1.13447432762836,0.852760736196319,0.596842105263153,0.77722152690864
"beauty",0.571428571428571,0.472934472934474,0.405555555555555,0.345443716497902,1.13049853372434,0.485057471264368,0.706601466992665,4.16973415132924,0.418947368421054,0.438047559449311
"parenting",1.20408163265306,0.954415954415954,0.708333333333333,0.43210244192971,4.20527859237538,0.970114942528736,0.635696821515893,0.820040899795501,0.612631578947369,0.787234042553192
"dating",0.693877551020408,1.32193732193732,0.730555555555556,0.450565812983933,0.781524926686217,0.685057471264368,0.613691931540342,0.832310838445808,1.0242105263158,1.08510638297873
"school",0.877551020408163,0.649572649572649,0.519444444444444,0.396962477665279,2.7741935483871,0.79080459770115,0.735941320293399,0.98159509202454,0.813684210526315,0.588235294117649
"personal_fitness",1.75510204081633,1.11396011396011,1.00833333333334,0.666170339487741,1.23607038123167,0.894252873563223,1.11002444987775,1.36605316973415,0.903157894736842,6.55193992490613
"fashion",0.959183673469388,0.686609686609686,0.894444444444445,0.463371054198949,1.03812316715543,0.609195402298851,0.958435207823961,5.91615541922291,0.816842105263158,0.819774718397997
"small_business",0.530612244897959,0.581196581196581,0.411111111111111,0.202799285288861,0.394428152492669,0.241379310344828,0.838630806845966,0.433537832310838,0.476842105263157,0.262828535669587
"spam",1.04081632653061,-4.59701721133854e-17,-4.68375338513738e-17,-1.17093834628434e-16,-8.50014503228635e-17,-6.07153216591882e-17,-5.72458747072346e-17,-6.85215773010839e-17,-9.62771529167128e-17,-9.19403442267708e-17
"adult",7.20408163265306,0.142450142450144,0.380555555555556,0.382668254913641,0.390029325513196,0.204597701149428,0.332518337408313,0.392638036809816,0.360000000000001,0.411764705882353
